,fips_code,blue_percentage
1113,13027.0,0.398989898989899
1116,13029.0,0.2645488697027615
1119,13031.0,0.3658160846895244
1122,13033.0,0.505935194096888
1125,13035.0,0.269707799033004
1128,13037.0,0.5822222222222222
1131,13039.0,0.31374001375588595
1134,13043.0,0.27265479670475684
1137,13045.0,0.28249586364769613
1140,13047.0,0.17830848002391897
1143,13049.0,0.25
1146,13051.0,0.5554564748265591
1149,13053.0,0.4273381294964029
1152,13055.0,0.19546776539020844
1155,13057.0,0.22519032871308337
1158,13059.0,0.658195482034863
1161,13061.0,0.5475255302435192
1164,13063.0,0.8423523837215563
1167,13065.0,0.2794297352342159
1170,13067.0,0.4840139169757481
1173,13069.0,0.29421487603305785
1176,13071.0,0.2541837933059307
1179,13073.0,0.29172265727569
1182,13075.0,0.2894172032359254
1185,13077.0,0.2685723540367641
1188,13079.0,0.2745363214837713
1191,13081.0,0.37766240681576146
1194,13083.0,0.15459788529317525
1197,13085.0,0.12307692307692308
1200,13087.0,0.40093330740812755
1203,13089.0,0.7986160752580562
1206,13091.0,0.26237694392923383
1209,13093.0,0.4850997667789583
1212,13095.0,0.6838677501686861
1215,13097.0,0.5369947001974437
1218,13099.0,0.45308254963427375
1221,13101.0,0.1319796954314721
1224,13103.0,0.20688038195924632
1227,13105.0,0.3178915738074371
1230,13107.0,0.3097964376590331
1233,13109.0,0.3127594796567949
1236,13111.0,0.16280054182187606
1239,13113.0,0.38225009439692675
1242,13115.0,0.2646497919556172
1245,13117.0,0.23886948819498885
1248,13119.0,0.14620089390731592
1251,13121.0,0.6885887744528746
1254,13123.0,0.1538401315274407
1257,13125.0,0.09928057553956834
1260,13127.0,0.3436651781805446
1263,13129.0,0.16778311092357193
1266,13131.0,0.32703788125474875
1269,13133.0,0.3613872571170357
1272,13135.0,0.5060533425110635
1275,13137.0,0.15286584990457427
1278,13139.0,0.22887373751662093
1281,13141.0,0.7544692737430168
1284,13143.0,0.12987584749493705
1287,13145.0,0.2476063507453642
1290,13147.0,0.2555105268360186
1293,13149.0,0.17594127397584655
1296,13151.0,0.5068242107607881
1299,13153.0,0.37538907105644237
1302,13155.0,0.24277929155313352
1305,13157.0,0.1651710187568959
1308,13159.0,0.2554177005789909
1311,13161.0,0.17680533751962324
1314,13163.0,0.5483639494833524
1317,13165.0,0.36747382198952877
1320,13167.0,0.3081931633206728
1323,13169.0,0.3155923830770457
1326,13171.0,0.29821334734629534
1329,13173.0,0.28073841866945315
1332,13175.0,0.34572452636968765
1335,13177.0,0.22413915010959484
1338,13179.0,0.5919593631914761
1341,13181.0,0.310336421257923
1344,13183.0,0.33033762448384746
1347,13185.0,0.3984658114006084
1350,13187.0,0.17867203219315894
1353,13189.0,0.3991152352179543
1356,13191.0,0.3901406064712858
1359,13193.0,0.6309773734546302
1362,13195.0,0.20211701950325053
1365,13197.0,0.38025078369905957
1368,13199.0,0.41271563415428014
1371,13201.0,0.24488993710691823
1374,13205.0,0.4432741116751269
1377,13207.0,0.2814692204618901
1380,13209.0,0.23685682326621924
1383,13211.0,0.28105540897097625
1386,13213.0,0.14448547118317548
1389,13215.0,0.577282999188782
1392,13217.0,0.4988519335258145
1395,13219.0,0.27698645094049335
1398,13221.0,0.27434821696134254
1401,13223.0,0.2777777777777778
1404,13225.0,0.47433035714285715
1407,13227.0,0.14097449779170823
1410,13229.0,0.12351251538777185
1413,13231.0,0.14212034383954156
1416,13233.0,0.20168835736897645
1419,13235.0,0.3062413314840499
1422,13237.0,0.2906829679595278
1425,13239.0,0.44157088122605365
1428,13241.0,0.1806806806806807
1431,13243.0,0.55122456019317
1434,13245.0,0.6464146196119976
1437,13247.0,0.6140906810319786
1440,13249.0,0.21005762179151388
1443,13251.0,0.40244969378827644
1446,13253.0,0.33138238573021184
1449,13255.0,0.36402894491129784
1452,13257.0,0.18716250636780438
1455,13259.0,0.5937803692905733
1458,13261.0,0.5030071077091307
1461,13263.0,0.6167590881084412
1464,13265.0,0.6075808249721293
1467,13267.0,0.2435173113139215
1470,13269.0,0.38028169014084506
1473,13271.0,0.3458904109589041
1476,13273.0,0.5411792790642158
1479,13275.0,0.3798532071056271
1482,13277.0,0.30571770166678386
1485,13279.0,0.2558546727949223
1488,13281.0,0.1788882318154938
1491,13283.0,0.3189049204587495
1494,13285.0,0.37198881697368924
1497,13287.0,0.36668628605061804
1500,13289.0,0.48558758314855877
1503,13291.0,0.16272900605156262
1506,13293.0,0.31781598683007134
1509,13295.0,0.175947570546001
1512,13297.0,0.20374465575703965
1515,13299.0,0.28233749179251477
1518,13301.0,0.5629820051413882
1521,13303.0,0.4963952251506914
1524,13305.0,0.19600499375780275
1527,13307.0,0.42383512544802865
1530,13309.0,0.3073263558515699
1533,13311.0,0.1415884293326567
1536,13313.0,0.2588883814991193
1539,13315.0,0.2862903225806452
1542,13317.0,0.4119482835488186
1545,13319.0,0.4418007930954047
1548,13321.0,0.2435201928872815
1551,15001.0,0.6360553131792746
1554,15003.0,0.6147730851324399
1557,15007.0,0.6248718435542054
1560,15009.0,0.6445278660121282
1563,16001.0,0.3867602941702569
1566,16003.0,0.19010535959688502
1569,16005.0,0.309492458702418
1572,16007.0,0.08709016393442623
1575,16009.0,0.18399044205495818
1578,16011.0,0.1758796992481203
1581,16013.0,0.59828422230511
1584,16015.0,0.2037231253277399
1587,16017.0,0.2778494007544287
1590,16019.0,0.20194025463015308
1593,16021.0,0.18070889018012784
1596,16023.0,0.13008130081300814
1599,16025.0,0.1864406779661017
1602,16027.0,0.23195713402486776
1605,16029.0,0.08929159802306424
1608,16031.0,0.12668134018097335
1611,16033.0,0.15547703180212014
1614,16035.0,0.18521441725861615
1617,16037.0,0.17688483844241923
1620,16039.0,0.21286083079089416
1623,16041.0,0.07001272958719768
1626,16043.0,0.11391076115485564
1629,16045.0,0.15451345235101835
1632,16047.0,0.17915623193989597
1635,16049.0,0.1452690392323576
1638,16051.0,0.08505446623093682
1641,16053.0,0.19685972448526146
1644,16055.0,0.24527220630372493
1647,16057.0,0.44533098552798106
1650,16059.0,0.178955078125
1653,16061.0,0.16981132075471697
1656,16063.0,0.20594965675057209
1659,16065.0,0.07655532891381948
1662,16067.0,0.169844273031582
1665,16069.0,0.2806813557351317
1668,16071.0,0.08897485493230174
1671,16073.0,0.1505732484076433
1674,16075.0,0.17313878676470587
1677,16077.0,0.2534445250181291
1680,16079.0,0.2703125
1683,16081.0,0.43388263665594856
1686,16083.0,0.2086429671286068
1689,16085.0,0.3576369414843896
1692,16087.0,0.17418630751964084
1695,17001.0,0.2402428718975932
1698,17003.0,0.44342937456078707
1701,17005.0,0.2746347941567065
1704,17007.0,0.3906786661449502
1707,17009.0,0.20008406893652794
1710,17011.0,0.36382837487176395
1713,17013.0,0.28743679502139247
1716,17015.0,0.32867696440564137
1719,17017.0,0.3163544106167057
1722,17019.0,0.5471799013402017
1725,17021.0,0.2582314509347306
1728,17023.0,0.23675580221997983
1731,17025.0,0.16062992125984252
1734,17027.0,0.2264768356392445
1737,17029.0,0.3343091067099666
1740,17031.0,0.7467501152359267
1743,17033.0,0.22823098075160403
1746,17035.0,0.18519849110831688
1749,17037.0,0.46940366972477066
1752,17039.0,0.2532149012329312
1755,17041.0,0.2385848941118864
1758,17043.0,0.5332055255860382
1761,17045.0,0.22774037850882764
1764,17047.0,0.12966835972512697
1767,17049.0,0.1750809245272304
1770,17051.0,0.1897756911841419
1773,17053.0,0.2210756722951845
